GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
8600000US11212,11212,ZCTA5 11212,31443,478,20555,684,6029,532,10888,599,20.8,1.6,15.5,1.5,2.8,1.1,32.7,3.4,10.0,1.3,8.8,1.7,4.5,1.8,12.7,2.2,14.6,1.5,15.5,1.8,13.2,3.6,13.4,2.1,12.2,1.3,14.0,1.9,10.6,3.1,9.9,2.2,13.8,1.4,14.0,1.6,10.5,3.0,12.7,2.4,13.8,1.2,13.8,1.6,21.1,3.4,12.8,2.5,7.5,1.0,8.9,1.4,16.3,3.4,3.9,1.7,5.1,0.9,6.6,1.2,13.9,2.8,1.4,0.8,1.5,0.4,2.0,0.5,4.7,1.5,0.2,0.3,0.7,0.3,0.9,0.5,2.5,1.5,0.3,0.4,28207,1206,31833,1523,59770,4631,17044,1765,40177,1411,44923,2059,70035,5488,27947,2176,49.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),51.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42.6,(X)
8600000US11213,11213,ZCTA5 11213,24163,407,14111,485,5896,411,10052,496,16.2,1.6,10.8,1.6,4.5,2.0,24.5,3.1,9.2,1.2,7.6,1.6,5.9,1.8,12.0,2.2,13.3,1.5,12.6,1.9,10.3,2.6,14.7,2.4,11.6,1.4,10.7,1.7,11.8,3.1,13.7,2.7,13.3,1.3,14.6,1.7,11.0,2.3,11.6,1.9,17.7,1.9,20.4,2.7,21.1,3.8,12.7,2.2,8.8,1.1,10.3,1.7,12.9,2.7,6.6,1.4,6.4,1.1,7.9,1.5,13.6,3.0,3.0,1.0,2.2,0.6,3.2,1.0,6.3,2.0,0.7,0.4,1.3,0.4,1.8,0.7,2.6,1.0,0.5,0.4,34701,2399,42116,2372,55885,4783,24148,2587,47669,2218,54731,2852,70754,4735,35257,3312,46.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.8,(X)
8600000US11214,11214,ZCTA5 11214,31512,429,21962,595,16115,674,9550,544,9.6,1.0,5.8,1.0,4.0,0.9,20.1,2.3,6.8,0.8,5.2,0.8,5.4,1.1,11.3,2.1,11.0,1.1,10.1,1.3,9.7,1.6,13.6,2.0,10.8,1.1,11.2,1.6,11.5,1.7,9.8,1.7,11.9,1.2,12.5,1.4,11.3,1.5,11.3,1.9,18.0,1.3,18.5,1.6,18.3,1.9,16.4,2.3,11.0,1.2,12.4,1.6,13.2,1.8,6.5,1.7,12.3,1.0,14.6,1.4,15.3,1.5,7.1,1.4,5.2,0.8,6.0,1.0,6.8,1.3,2.0,0.7,3.4,0.7,3.7,0.7,4.5,0.9,1.9,0.9,49828,2741,56627,2437,60119,3616,29475,2491,66803,2586,72386,2545,77403,3003,49177,5128,55.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),56.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),49.7,(X)
8600000US11215,11215,ZCTA5 11215,29182,462,16256,567,12661,526,12926,587,4.3,0.8,2.4,1.0,0.7,0.5,7.3,1.5,2.4,0.6,1.8,0.7,1.0,0.6,3.6,1.1,3.0,0.7,2.5,0.8,1.4,0.7,4.0,1.4,3.8,0.8,3.2,0.9,3.2,1.0,4.6,1.2,7.5,1.2,6.6,1.5,4.4,1.2,9.5,1.7,14.2,1.5,10.2,1.7,8.3,1.7,18.6,2.3,12.6,1.2,9.7,1.5,9.0,1.8,16.7,1.9,18.9,1.4,19.7,2.0,20.1,2.1,17.8,2.2,13.1,1.3,15.8,1.8,18.2,2.1,9.6,1.8,20.0,1.6,28.0,2.3,33.7,2.7,8.2,1.6,103716,3761,131182,7224,153934,6968,78676,3757,144180,6394,177357,10056,N,N,96692,6766,25.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.6,(X)
8600000US11216,11216,ZCTA5 11216,23048,539,10640,480,4490,345,12408,586,11.6,1.4,10.1,1.8,3.9,1.9,13.9,2.4,6.8,1.1,4.0,1.4,3.4,1.7,9.2,1.7,10.5,1.4,8.5,1.7,6.1,2.2,12.4,2.2,10.3,1.4,11.0,2.1,6.5,2.5,10.0,1.9,12.6,1.5,12.0,2.3,9.0,2.7,13.6,2.2,17.2,1.6,19.8,2.6,17.6,3.8,15.1,2.3,10.5,1.4,10.6,2.1,13.9,3.7,9.9,1.7,11.8,1.4,12.4,2.1,18.5,3.3,10.7,1.7,4.8,0.9,5.8,1.6,9.9,3.1,3.2,1.0,3.8,0.7,5.7,1.4,11.1,2.9,2.1,0.7,47107,2635,53278,2588,81689,9070,38863,2816,65962,3017,75088,4502,105088,9854,55558,3710,40.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.5,(X)
8600000US11217,11217,ZCTA5 11217,16797,341,8308,414,5823,419,8489,460,6.5,1.1,4.3,1.4,0.7,0.6,9.0,1.9,3.7,1.0,4.0,1.6,1.6,1.1,3.5,1.1,6.3,1.1,6.2,1.6,3.2,1.1,6.4,1.6,5.5,1.3,4.3,1.5,3.1,1.4,6.3,1.9,8.2,1.4,8.1,1.9,6.7,2.3,8.6,2.0,12.7,1.7,13.4,2.5,9.7,2.4,12.5,2.2,11.2,1.4,8.8,1.8,10.0,2.5,13.7,2.2,18.1,2.1,17.7,3.2,20.3,3.5,18.9,2.9,9.7,1.4,8.2,1.7,10.4,2.4,11.1,2.2,18.0,1.7,25.0,2.9,34.2,3.8,9.9,2.2,87091,6243,103628,11495,138413,8867,79548,4516,126829,6688,148254,11771,N,N,102541,7744,29.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
8600000US11218,11218,ZCTA5 11218,24909,371,16246,586,12117,527,8663,535,7.8,1.0,3.6,0.8,2.1,0.7,16.0,2.4,5.5,0.9,5.7,1.2,4.3,1.1,6.2,1.6,12.7,1.4,13.6,1.8,13.9,2.3,11.8,2.3,8.9,1.0,9.3,1.3,7.3,1.3,9.3,1.7,11.0,1.3,11.2,1.5,11.0,1.8,10.2,1.9,15.6,1.6,14.0,1.5,12.9,1.8,18.3,3.1,13.3,1.3,12.6,1.7,13.2,2.0,13.2,2.3,13.4,1.3,14.7,1.7,16.3,1.9,10.3,2.1,6.2,0.8,7.9,1.2,9.4,1.6,2.9,1.1,5.7,0.8,7.3,1.2,9.6,1.6,1.6,0.7,56120,3925,62781,4074,71892,4346,45247,5353,78208,3788,88491,5597,N,N,54796,2971,37.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X)
8600000US11219,11219,ZCTA5 11219,26390,429,20517,560,16855,595,5873,434,9.8,1.1,7.3,1.1,6.8,1.3,20.8,3.3,9.5,1.1,8.2,1.3,7.8,1.2,17.1,2.8,16.7,1.5,17.3,1.6,16.5,1.7,17.3,3.5,12.8,1.1,14.8,1.5,15.5,1.6,6.8,1.9,14.3,1.1,14.8,1.4,14.6,1.5,11.6,2.1,16.1,1.4,16.2,1.5,16.3,1.6,13.2,2.1,7.5,0.9,7.5,1.1,7.5,1.2,5.6,1.8,8.9,1.1,9.1,1.4,9.3,1.5,5.5,2.0,2.5,0.6,2.8,0.7,3.2,0.8,1.2,0.8,1.9,0.4,2.1,0.5,2.4,0.6,0.9,0.8,35974,1355,36792,1327,(X),(X),21431,1195,52503,1818,54629,2168,N,N,37444,3518,43.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),41.3,(X)
8600000US11220,11220,ZCTA5 11220,29399,470,22096,538,14131,628,7303,386,9.4,1.1,7.1,1.0,2.8,0.8,20.6,3.2,8.0,0.9,8.2,1.1,7.9,1.3,9.9,2.1,16.2,1.5,19.7,1.8,19.0,2.1,13.2,2.5,12.6,1.2,13.8,1.4,14.2,1.6,9.3,2.1,14.5,1.3,14.7,1.4,14.6,1.7,13.7,3.0,16.0,1.4,15.4,1.5,15.8,1.7,13.4,2.5,9.6,0.9,8.9,1.0,9.9,1.4,8.7,1.8,8.3,0.9,7.0,1.0,8.5,1.4,7.6,1.7,3.0,0.6,2.9,0.7,3.9,1.0,2.0,1.0,2.5,0.6,2.4,0.7,3.3,1.1,1.6,0.8,38893,1679,36090,1782,40784,2503,31226,3050,54640,1790,52376,2067,59437,2996,47165,3915,42.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
8600000US11221,11221,ZCTA5 11221,28918,518,17246,601,6526,450,11672,511,15.7,1.6,10.7,1.6,4.4,1.5,24.3,2.6,6.9,0.9,6.5,1.4,4.6,1.7,8.7,1.6,11.8,1.2,12.6,1.8,11.9,2.9,10.8,1.7,10.9,1.2,11.5,1.7,7.9,2.7,10.7,1.6,13.7,1.3,14.1,1.6,10.2,2.5,14.5,2.2,16.1,1.3,19.0,2.1,22.8,3.8,11.9,1.7,9.3,1.1,9.0,1.4,11.0,2.4,7.3,1.6,11.1,1.1,11.3,1.5,18.2,3.0,9.7,1.6,2.4,0.6,2.5,0.7,3.7,1.4,1.8,0.9,2.0,0.4,2.8,0.7,5.3,1.5,0.4,0.3,40635,2093,44163,2555,61356,4140,30362,2046,54815,2279,59381,3463,80148,6893,42705,2297,46.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),48.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.2,(X)
